"kernel","rep","seed","n_events","file"
"rate_state",9,3009,2183,"rate_state_009.rds"
"rate_state",10,3010,1468,"rate_state_010.rds"
"rate_state",11,3011,2116,"rate_state_011.rds"
"rate_state",12,3012,2063,"rate_state_012.rds"
"rate_state",13,3013,1291,"rate_state_013.rds"
"rate_state",14,3014,1676,"rate_state_014.rds"
"rate_state",15,3015,1618,"rate_state_015.rds"
"rate_state",16,3016,2397,"rate_state_016.rds"
"rate_state",17,3017,1305,"rate_state_017.rds"
"rate_state",18,3018,5152,"rate_state_018.rds"
"rate_state",19,3019,2159,"rate_state_019.rds"
"rate_state",20,3020,3616,"rate_state_020.rds"
"rate_state",21,3021,6127,"rate_state_021.rds"
"rate_state",22,3022,2361,"rate_state_022.rds"
"rate_state",23,3023,2827,"rate_state_023.rds"
"rate_state",24,3024,1158,"rate_state_024.rds"
"rate_state",25,3025,1723,"rate_state_025.rds"
"rate_state",26,3026,4221,"rate_state_026.rds"
"rate_state",27,3027,3674,"rate_state_027.rds"
"rate_state",28,3028,1521,"rate_state_028.rds"
"rate_state",29,3029,1637,"rate_state_029.rds"
"rate_state",30,3030,1804,"rate_state_030.rds"
"rate_state",31,3031,1382,"rate_state_031.rds"
"rate_state",32,3032,1682,"rate_state_032.rds"
"rate_state",33,3033,2205,"rate_state_033.rds"
"rate_state",34,3034,1959,"rate_state_034.rds"
"rate_state",35,3035,1336,"rate_state_035.rds"
"rate_state",36,3036,3156,"rate_state_036.rds"
"rate_state",37,3037,6412,"rate_state_037.rds"
"rate_state",38,3038,2860,"rate_state_038.rds"
"rate_state",39,3039,2385,"rate_state_039.rds"
"rate_state",40,3040,2033,"rate_state_040.rds"
"rate_state",41,3041,3382,"rate_state_041.rds"
"rate_state",42,3042,1805,"rate_state_042.rds"
"rate_state",43,3043,1260,"rate_state_043.rds"
"rate_state",44,3044,2295,"rate_state_044.rds"
"rate_state",45,3045,3425,"rate_state_045.rds"
"rate_state",46,3046,1483,"rate_state_046.rds"
"rate_state",47,3047,1689,"rate_state_047.rds"
"rate_state",48,3048,2586,"rate_state_048.rds"
"rate_state",49,3049,1237,"rate_state_049.rds"
"rate_state",50,3050,2777,"rate_state_050.rds"
"rate_state",51,3051,1454,"rate_state_051.rds"
"rate_state",52,3052,1488,"rate_state_052.rds"
"rate_state",53,3053,1277,"rate_state_053.rds"
"rate_state",54,3054,1675,"rate_state_054.rds"
"rate_state",55,3055,4197,"rate_state_055.rds"
"rate_state",56,3056,2309,"rate_state_056.rds"
"rate_state",57,3057,1937,"rate_state_057.rds"
"rate_state",58,3058,6045,"rate_state_058.rds"
"rate_state",59,3059,1572,"rate_state_059.rds"
"rate_state",60,3060,4228,"rate_state_060.rds"
"rate_state",61,3061,2213,"rate_state_061.rds"
"rate_state",62,3062,2638,"rate_state_062.rds"
"rate_state",63,3063,3160,"rate_state_063.rds"
"rate_state",64,3064,1601,"rate_state_064.rds"
"rate_state",65,3065,2642,"rate_state_065.rds"
