"kernel","n_total","n_pre_mainshock","n_post_mainshock","max_magnitude","max_generation","rep","seed"
"mse",2236,130,2106,7.1,10,74,910221
"rate_state",2617,113,2504,7.1,12,74,910222
"ou",4383,95,4288,7.1,15,75,910223
"mse",1276,160,1116,7.1,7,75,910224
"rate_state",1857,77,1780,7.1,9,75,910225
"ou",2302,80,2222,7.1,15,76,910226
"mse",3119,1470,1649,7.1,16,76,910227
"rate_state",1893,113,1780,7.1,13,76,910228
"ou",2998,340,2658,7.1,12,77,910229
"mse",5696,109,5587,7.1,14,77,910230
"rate_state",2255,100,2155,7.1,13,77,910231
"ou",1670,113,1557,7.1,9,78,910232
"mse",2113,172,1941,7.1,15,78,910233
"rate_state",1507,76,1431,7.1,7,78,910234
"ou",3962,103,3859,7.1,25,79,910235
"mse",3720,352,3368,7.1,17,79,910236
"rate_state",2186,270,1916,7.1,13,79,910237
"ou",2025,106,1919,7.1,10,80,910238
"mse",3016,222,2794,7.1,12,80,910239
"rate_state",7180,154,7026,7.1,18,80,910240
"ou",2336,125,2211,7.1,21,81,910241
"mse",3680,98,3582,7.1,15,81,910242
"rate_state",1600,120,1480,7.1,10,81,910243
"ou",2659,782,1877,7.1,13,82,910244
"mse",3406,187,3219,7.1,13,82,910245
"rate_state",3624,193,3431,7.1,21,82,910246
"ou",1388,90,1298,7.1,9,83,910247
"mse",1695,111,1584,7.1,8,83,910248
"rate_state",3604,95,3509,7.1,14,83,910249
"ou",2086,132,1954,7.1,12,84,910250
"mse",3437,422,3015,7.1,25,84,910251
"rate_state",3467,835,2632,7.1,10,84,910252
"ou",2294,65,2229,7.1,12,85,910253
"mse",2265,194,2071,7.1,13,85,910254
"rate_state",1160,164,996,7.1,11,85,910255
"ou",1791,92,1699,7.1,10,86,910256
"mse",3165,186,2979,7.1,15,86,910257
"rate_state",5462,107,5355,7.1,15,86,910258
"ou",4692,2550,2142,7.1,18,87,910259
"mse",1639,97,1542,7.1,8,87,910260
"rate_state",1361,145,1216,7.1,9,87,910261
"ou",1755,99,1656,7.1,10,88,910262
"mse",1452,83,1369,7.1,8,88,910263
"rate_state",2146,157,1989,7.1,11,88,910264
"ou",3330,570,2760,7.1,11,89,910265
"mse",3392,132,3260,7.1,11,89,910266
"rate_state",2765,86,2679,7.1,12,89,910267
"ou",1206,83,1123,7.1,9,90,910268
"mse",4671,286,4385,7.1,19,90,910269
"rate_state",4891,151,4740,7.1,23,90,910270
"ou",2494,181,2313,7.1,13,91,910271
"mse",1323,109,1214,7.1,10,91,910272
"rate_state",1818,70,1748,7.1,12,91,910273
"ou",5312,786,4526,7.1,18,92,910274
"mse",1794,527,1267,7.1,8,92,910275
"rate_state",4137,275,3862,7.1,11,92,910276
"ou",4608,141,4467,7.1,15,93,910277
"mse",1116,142,974,7.1,7,93,910278
"rate_state",1534,395,1139,7.1,10,93,910279
"ou",4111,1209,2902,7.1,16,94,910280
"mse",1993,771,1222,7.1,11,94,910281
"rate_state",2025,119,1906,7.1,11,94,910282
"ou",1666,166,1500,7.1,9,95,910283
"mse",2682,108,2574,7.1,12,95,910284
"rate_state",1718,150,1568,7.1,8,95,910285
"ou",2403,112,2291,7.1,14,96,910286
"mse",2504,111,2393,7.1,13,96,910287
"rate_state",2395,835,1560,7.1,11,96,910288
"ou",4003,293,3710,7.1,14,97,910289
"mse",1873,628,1245,7.1,9,97,910290
"rate_state",2221,639,1582,7.1,13,97,910291
"ou",1511,98,1413,7.1,8,98,910292
"mse",3419,80,3339,7.1,16,98,910293
"rate_state",6297,135,6162,7.1,15,98,910294
"ou",4481,2178,2303,7.1,15,99,910295
"mse",2565,182,2383,7.1,10,99,910296
"rate_state",2295,163,2132,7.1,12,99,910297
"ou",4502,96,4406,7.1,15,100,910298
"mse",3147,220,2927,7.1,13,100,910299
"rate_state",8158,175,7983,7.1,23,100,910300
