"truth_kernel","rep","parameter","truth","mean","q025","median","q975","error","squared_error","ci_width","covered"
"ou",18,"mu",0.074,0.0844049928726441,0.075334133743154,0.0842872890570209,0.0940888177647475,0.0102872890570209,0.000105828316142703,0.0187546840215935,FALSE
"ou",18,"K",0.524180588111021,0.509802681490503,0.42863251034413,0.507835632092467,0.601664850465703,-0.0163449560185539,0.000267157587248461,0.173032340121573,TRUE
"ou",18,"alpha",1.89,1.91305901937831,1.88828383578091,1.9130107158666,1.93795330930178,0.0230107158666013,0.000529493044693457,0.049669473520874,TRUE
"ou",18,"c",0.03,0.0302662579309279,0.0244652258657493,0.0301257111638616,0.0368308075524125,0.000125711163861588,1.5803296719435e-08,0.0123655816866632,TRUE
"ou",18,"p",1.17,1.17760189385681,1.15903043151183,1.17741941024009,1.19709515447656,0.00741941024009196,5.50476483107815e-05,0.0380647229647288,TRUE
"ou",19,"mu",0.074,0.0738214906621683,0.0653608252921759,0.0737035411111323,0.0829003588374179,-0.000296458888867743,8.78878727886966e-08,0.0175395335452419,TRUE
"ou",19,"K",0.524180588111021,0.468796809838622,0.401235718566653,0.467327614533866,0.544299282628717,-0.0568529735771552,0.00323226060456471,0.143063564062063,TRUE
"ou",19,"alpha",1.89,1.92337984932772,1.90042652697547,1.9233371741566,1.9464316986171,0.0333371741565951,0.00111136718074715,0.0460051716416312,FALSE
"ou",19,"c",0.03,0.0303753567640406,0.0251368107222212,0.0302622689617847,0.0362246639927861,0.000262268961784728,6.8785008315639e-08,0.011087853270565,TRUE
"ou",19,"p",1.17,1.16447578708352,1.14867005554043,1.16432889889781,1.18101816109959,-0.00567110110218993,3.21613877112599e-05,0.0323481055591577,TRUE
"ou",20,"mu",0.074,0.0783114411910418,0.0695852716786778,0.0781935564708632,0.0876537742800569,0.00419355647086316,1.75859158743182e-05,0.0180685026013791,TRUE
"ou",20,"K",0.524180588111021,0.671643852910771,0.544037400431252,0.667879108424126,0.819894069473216,0.143698520313105,0.0206492647401758,0.275856669041964,FALSE
"ou",20,"alpha",1.89,1.854264674021,1.8253130542067,1.8542012805548,1.88339503031222,-0.0357987194452034,0.00128154831391638,0.0580819761055236,FALSE
"ou",20,"c",0.03,0.0251065939394928,0.0193108404158954,0.0249314430049395,0.0318629284593382,-0.00506855699506049,2.56902700121766e-05,0.0125520880434428,TRUE
"ou",20,"p",1.17,1.16705595095388,1.14611834894126,1.16680496240497,1.18929020854087,-0.00319503759502937,1.02082652336511e-05,0.0431718595996096,TRUE
"ou",21,"mu",0.074,0.0781990133701255,0.0694804236009372,0.0780811549336935,0.087533664779563,0.00408115493369351,1.66558255928109e-05,0.0180532411786258,TRUE
"ou",21,"K",0.524180588111021,0.4417794401458,0.367998610075014,0.43989496984902,0.525829107435729,-0.0842856182620018,0.00710406544580789,0.157830497360714,TRUE
