"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"ou","ou",71,1071,1000211,2937,2.68734405040741,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00668676468437494,FALSE,"fitted",NA,"rep_0071_fit_ou.rds"
"ou","mse",71,1071,1000212,2937,5.11704633633296,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,44,0.00668994287360377,FALSE,"fitted",NA,"rep_0071_fit_mse.rds"
"ou","rate_state",71,1071,1000213,2937,5.03979800144831,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,48,0.00685273528484653,FALSE,"fitted",NA,"rep_0071_fit_rate_state.rds"
"ou","ou",72,1072,1000214,1999,2.00881779988607,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,29,0.00819374679503598,FALSE,"fitted",NA,"rep_0072_fit_ou.rds"
"ou","mse",72,1072,1000215,1999,2.8712898015976,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.008254089071414,FALSE,"fitted",NA,"rep_0072_fit_mse.rds"
"ou","rate_state",72,1072,1000216,1999,1.52927088340123,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00839024383077871,FALSE,"fitted",NA,"rep_0072_fit_rate_state.rds"
"ou","ou",73,1073,1000217,1970,1.3948197166125,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00817463752705418,FALSE,"fitted",NA,"rep_0073_fit_ou.rds"
"ou","mse",73,1073,1000218,1970,2.66485644976298,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.00819431493416101,FALSE,"fitted",NA,"rep_0073_fit_mse.rds"
"ou","rate_state",73,1073,1000219,1970,2.19649764696757,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,34,0.00837013595771757,FALSE,"fitted",NA,"rep_0073_fit_rate_state.rds"
"ou","ou",74,1074,1000220,2545,1.95286541779836,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,23,0.00760347874643013,FALSE,"fitted",NA,"rep_0074_fit_ou.rds"
"ou","mse",74,1074,1000221,2545,3.54016798337301,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00761711599466416,FALSE,"fitted",NA,"rep_0074_fit_mse.rds"
"ou","rate_state",74,1074,1000222,2545,1.61992316643397,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,19,0.00767703759977031,FALSE,"fitted",NA,"rep_0074_fit_rate_state.rds"
"ou","ou",75,1075,1000223,2328,1.59334776798884,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00770101512159384,FALSE,"fitted",NA,"rep_0075_fit_ou.rds"
"ou","mse",75,1075,1000224,2328,2.93101193110148,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00771895298609795,FALSE,"fitted",NA,"rep_0075_fit_mse.rds"
"ou","rate_state",75,1075,1000225,2328,2.29592606623967,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.0078138744361432,FALSE,"fitted",NA,"rep_0075_fit_rate_state.rds"
"ou","ou",76,1076,1000226,6723,10.8978415966034,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.00427848488358661,FALSE,"fitted",NA,"rep_0076_fit_ou.rds"
"ou","mse",76,1076,1000227,6723,14.7453043023745,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,39,0.0042842859071249,FALSE,"fitted",NA,"rep_0076_fit_mse.rds"
"ou","rate_state",76,1076,1000228,6723,15.739803536733,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,47,0.00435989370380569,FALSE,"fitted",NA,"rep_0076_fit_rate_state.rds"
"ou","ou",77,1077,1000229,1576,1.11051100095113,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,21,0.00877219735961397,FALSE,"fitted",NA,"rep_0077_fit_ou.rds"
"ou","mse",77,1077,1000230,1576,2.14109156529109,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00883958783932658,FALSE,"fitted",NA,"rep_0077_fit_mse.rds"
"ou","rate_state",77,1077,1000231,1576,1.00924776792526,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,19,0.00901232065442301,FALSE,"fitted",NA,"rep_0077_fit_rate_state.rds"
"ou","ou",78,1078,1000232,3992,4.38670991659164,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,32,0.00577021644966591,FALSE,"fitted",NA,"rep_0078_fit_ou.rds"
"ou","mse",78,1078,1000233,3992,6.00625865062078,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,34,0.00577435111946536,FALSE,"fitted",NA,"rep_0078_fit_mse.rds"
"ou","rate_state",78,1078,1000234,3992,5.64024853308996,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,35,0.00580991918546522,FALSE,"fitted",NA,"rep_0078_fit_rate_state.rds"
"ou","ou",79,1079,1000235,2255,1.99311816692352,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,26,0.00753551650578126,FALSE,"fitted",NA,"rep_0079_fit_ou.rds"
"ou","mse",79,1079,1000236,2255,3.13259523312251,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,36,0.00755254663008736,FALSE,"fitted",NA,"rep_0079_fit_mse.rds"
"ou","rate_state",79,1079,1000237,2255,2.84533360004425,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,33,0.00762845329285157,FALSE,"fitted",NA,"rep_0079_fit_rate_state.rds"
"ou","ou",80,1080,1000238,1726,1.75575086673101,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,28,0.00860594787628375,FALSE,"fitted",NA,"rep_0080_fit_ou.rds"
"ou","mse",80,1080,1000239,1726,2.52027381658554,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,38,0.0086457570157045,FALSE,"fitted",NA,"rep_0080_fit_mse.rds"
