"truth_kernel","rep","n_fit","converged","hit_max","inla_failure","degenerate","min_sd","B","one_minus_B","ta","tau","fit_result"
"MSE truth",9,3015,FALSE,FALSE,TRUE,FALSE,0.0110786943325992,0.999969955167119,3.00448328814928e-05,23.2629563462181,0.000698952635666717,"Non-converged"
"MSE truth",10,3454,FALSE,TRUE,FALSE,FALSE,0.0113951900275417,0.999967746215801,3.22537841989101e-05,11.0769677199847,0.00035728565023294,"Non-converged"
"MSE truth",11,3191,FALSE,TRUE,FALSE,FALSE,0.00695686334849596,0.999997573176534,2.4268234659619e-06,59.6489782739843,0.000144757891497805,"Non-converged"
"MSE truth",12,2103,FALSE,TRUE,FALSE,TRUE,8.90580673427884e-83,0.999999999961354,3.86455312195721e-11,183.797577876727,7.10295503419128e-09,"Degenerate"
"MSE truth",13,4554,FALSE,TRUE,FALSE,FALSE,0.0058695218024393,0.999792589720693,0.00020741027930693,34.5380884829288,0.00716504068206083,"Non-converged"
"MSE truth",14,2881,FALSE,TRUE,FALSE,FALSE,0.0080226692287097,0.99999904153865,9.5846135006461e-07,56.6715774213661,5.43175686668638e-05,"Non-converged"
"MSE truth",15,2231,FALSE,TRUE,FALSE,FALSE,0.0083187077163314,0.999997951980017,2.04801998315851e-06,60.3099884790811,0.000123516314553098,"Non-converged"
"MSE truth",16,1913,FALSE,TRUE,FALSE,TRUE,2.22521978770356e-24,0.999999999962302,3.76978448457521e-11,170.105313969712,6.41260373370991e-09,"Degenerate"
"MSE truth",17,1493,FALSE,TRUE,FALSE,TRUE,1.43579195723672e-48,0.999999999961625,3.83750808907735e-11,178.240677454758,6.84000041561507e-09,"Degenerate"
"MSE truth",18,4107,FALSE,TRUE,FALSE,FALSE,0.0100910346870282,0.999972569938555,2.74300614447887e-05,5.08599290561999,0.000139512924757014,"Non-converged"
"MSE truth",19,2855,FALSE,TRUE,FALSE,FALSE,0.0116262749469151,0.999677137305103,0.000322862694896564,11.3094765931077,0.00365258737492358,"Non-converged"
"MSE truth",20,1665,FALSE,TRUE,FALSE,FALSE,0.00862406993046175,0.999757193765207,0.000242806234792559,44.1541330996099,0.0107235025417217,"Non-converged"
