"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","n_iter","min_sd","degenerate","status","error","file"
"mse","rate_state",38,2038,1000414,4532,19.1141498645147,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00762347189432707,FALSE,"fitted",NA,"rep_0038_fit_rate_state.rds"
"mse","rate_state",39,2039,1000417,5183,22.9653620680173,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0108150086844384,FALSE,"fitted",NA,"rep_0039_fit_rate_state.rds"
"mse","rate_state",40,2040,1000420,2182,8.99578963120778,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00930930861221627,FALSE,"fitted",NA,"rep_0040_fit_rate_state.rds"
"mse","rate_state",41,2041,1000423,2456,11.221109131972,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00836888784290635,FALSE,"existing",NA,"rep_0041_fit_rate_state.rds"
"mse","rate_state",42,2042,1000426,1806,6.74245178302129,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00892936129143437,FALSE,"fitted",NA,"rep_0042_fit_rate_state.rds"
"mse","rate_state",43,2043,1000429,2919,10.8846041520437,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00731821587826583,FALSE,"fitted",NA,"rep_0043_fit_rate_state.rds"
"mse","rate_state",44,2044,1000432,2220,8.31448271671931,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00904264393768325,FALSE,"fitted",NA,"rep_0044_fit_rate_state.rds"
"mse","rate_state",45,2045,1000435,1522,6.8840746363004,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0105437455838686,FALSE,"existing",NA,"rep_0045_fit_rate_state.rds"
"mse","rate_state",46,2046,1000438,5358,28.7227716684341,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00527794110489828,FALSE,"fitted",NA,"rep_0046_fit_rate_state.rds"
"mse","rate_state",47,2047,1000441,1769,6.6724246819814,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0093461231050563,FALSE,"fitted",NA,"rep_0047_fit_rate_state.rds"
"mse","rate_state",48,2048,1000444,1765,7.06265748341878,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,4.55256922325411e-111,TRUE,"fitted",NA,"rep_0048_fit_rate_state.rds"
"mse","rate_state",49,2049,1000447,4646,24.0083615144094,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.93609006223114e-71,TRUE,"fitted",NA,"rep_0049_fit_rate_state.rds"
"mse","rate_state",50,2050,1000450,2412,9.21997071504593,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,3.14515617566737e-73,TRUE,"fitted",NA,"rep_0050_fit_rate_state.rds"
"mse","rate_state",51,2051,1000453,5966,33.4968325853348,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0076261387830569,FALSE,"fitted",NA,"rep_0051_fit_rate_state.rds"
"mse","rate_state",52,2052,1000456,4524,17.6263059973717,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0102067564067953,FALSE,"fitted",NA,"rep_0052_fit_rate_state.rds"
"mse","rate_state",53,2053,1000459,2368,10.642060148716,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,1.62152061490639e-78,TRUE,"fitted",NA,"rep_0053_fit_rate_state.rds"
"mse","rate_state",54,2054,1000462,2320,9.69815029700597,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00823633848836684,FALSE,"fitted",NA,"rep_0054_fit_rate_state.rds"
"mse","rate_state",55,2055,1000465,2116,9.05945758422216,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,1.05280286806569e-80,TRUE,"fitted",NA,"rep_0055_fit_rate_state.rds"
"mse","rate_state",56,2056,1000468,1943,8.10345140298208,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,2.79412979082299e-45,TRUE,"fitted",NA,"rep_0056_fit_rate_state.rds"
"mse","rate_state",57,2057,1000471,1674,7.43708434899648,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0095986376101878,FALSE,"fitted",NA,"rep_0057_fit_rate_state.rds"
"mse","rate_state",58,2058,1000474,3162,12.9341886003812,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.011417471959201,FALSE,"fitted",NA,"rep_0058_fit_rate_state.rds"
"mse","rate_state",59,2059,1000477,2130,8.01924275159836,"inla_failure",FALSE,FALSE,TRUE,FALSE,FALSE,94,0.00823714729629599,FALSE,"fitted",NA,"rep_0059_fit_rate_state.rds"
"mse","rate_state",60,2060,1000480,1741,6.35487396717072,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,1.96470551581761e-85,TRUE,"fitted",NA,"rep_0060_fit_rate_state.rds"
"mse","rate_state",61,2061,1000483,1932,7.53895770311356,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00875574304836022,FALSE,"fitted",NA,"rep_0061_fit_rate_state.rds"
"mse","rate_state",62,2062,1000486,1667,6.10744044780731,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0117463235222457,FALSE,"fitted",NA,"rep_0062_fit_rate_state.rds"
"mse","rate_state",63,2063,1000489,1512,6.21893664995829,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00927358763521315,FALSE,"fitted",NA,"rep_0063_fit_rate_state.rds"
"mse","rate_state",64,2064,1000492,3309,11.9738632996877,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00839546291238761,FALSE,"fitted",NA,"rep_0064_fit_rate_state.rds"
"mse","rate_state",65,2065,1000495,1908,6.37290538549423,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.0106079299776826,FALSE,"fitted",NA,"rep_0065_fit_rate_state.rds"
"mse","rate_state",66,2066,1000498,2822,10.3923150142034,"hit_max",FALSE,TRUE,FALSE,FALSE,FALSE,100,0.00980321562247548,FALSE,"fitted",NA,"rep_0066_fit_rate_state.rds"
