"truth_form","rep","catalogue_seed","fitted_form","fit_seed"
"ou",32,1032,"mse",1000095
"ou",32,1032,"rate_state",1000096
"ou",33,1033,"ou",1000097
"ou",33,1033,"mse",1000098
"ou",33,1033,"rate_state",1000099
"ou",34,1034,"ou",1000100
"ou",34,1034,"mse",1000101
"ou",34,1034,"rate_state",1000102
"ou",35,1035,"ou",1000103
"ou",35,1035,"mse",1000104
"ou",35,1035,"rate_state",1000105
"ou",36,1036,"ou",1000106
"ou",36,1036,"mse",1000107
"ou",36,1036,"rate_state",1000108
"ou",37,1037,"ou",1000109
"ou",37,1037,"mse",1000110
"ou",37,1037,"rate_state",1000111
"ou",38,1038,"ou",1000112
"ou",38,1038,"mse",1000113
"ou",38,1038,"rate_state",1000114
"ou",39,1039,"ou",1000115
"ou",39,1039,"mse",1000116
"ou",39,1039,"rate_state",1000117
"ou",40,1040,"ou",1000118
"ou",40,1040,"mse",1000119
"ou",40,1040,"rate_state",1000120
"ou",41,1041,"ou",1000121
"ou",41,1041,"mse",1000122
"ou",41,1041,"rate_state",1000123
"ou",42,1042,"ou",1000124
"ou",42,1042,"mse",1000125
"ou",42,1042,"rate_state",1000126
"ou",43,1043,"ou",1000127
"ou",43,1043,"mse",1000128
"ou",43,1043,"rate_state",1000129
"ou",44,1044,"ou",1000130
"ou",44,1044,"mse",1000131
"ou",44,1044,"rate_state",1000132
"ou",45,1045,"ou",1000133
"ou",45,1045,"mse",1000134
"ou",45,1045,"rate_state",1000135
"ou",46,1046,"ou",1000136
"ou",46,1046,"mse",1000137
"ou",46,1046,"rate_state",1000138
"ou",47,1047,"ou",1000139
"ou",47,1047,"mse",1000140
"ou",47,1047,"rate_state",1000141
"ou",48,1048,"ou",1000142
"ou",48,1048,"mse",1000143
"ou",48,1048,"rate_state",1000144
"ou",49,1049,"ou",1000145
"ou",49,1049,"mse",1000146
"ou",49,1049,"rate_state",1000147
"ou",50,1050,"ou",1000148
"ou",50,1050,"mse",1000149
"ou",50,1050,"rate_state",1000150
"ou",51,1051,"ou",1000151
"ou",51,1051,"mse",1000152
"ou",51,1051,"rate_state",1000153
"ou",52,1052,"ou",1000154
"ou",52,1052,"mse",1000155
"ou",52,1052,"rate_state",1000156
"ou",53,1053,"ou",1000157
"ou",53,1053,"mse",1000158
"ou",53,1053,"rate_state",1000159
"ou",54,1054,"ou",1000160
"ou",54,1054,"mse",1000161
"ou",54,1054,"rate_state",1000162
"ou",55,1055,"ou",1000163
"ou",55,1055,"mse",1000164
"ou",55,1055,"rate_state",1000165
"ou",56,1056,"ou",1000166
"ou",56,1056,"mse",1000167
"ou",56,1056,"rate_state",1000168
"ou",57,1057,"ou",1000169
"ou",57,1057,"mse",1000170
"ou",57,1057,"rate_state",1000171
"ou",58,1058,"ou",1000172
"ou",58,1058,"mse",1000173
"ou",58,1058,"rate_state",1000174
"ou",59,1059,"ou",1000175
"ou",59,1059,"mse",1000176
"ou",59,1059,"rate_state",1000177
"ou",60,1060,"ou",1000178
"ou",60,1060,"mse",1000179
"ou",60,1060,"rate_state",1000180
"ou",61,1061,"ou",1000181
"ou",61,1061,"mse",1000182
"ou",61,1061,"rate_state",1000183
"ou",62,1062,"ou",1000184
"ou",62,1062,"mse",1000185
"ou",62,1062,"rate_state",1000186
"ou",63,1063,"ou",1000187
"ou",63,1063,"mse",1000188
"ou",63,1063,"rate_state",1000189
"ou",64,1064,"ou",1000190
"ou",64,1064,"mse",1000191
"ou",64,1064,"rate_state",1000192
"ou",65,1065,"ou",1000193
"ou",65,1065,"mse",1000194
"ou",65,1065,"rate_state",1000195
"ou",66,1066,"ou",1000196
"ou",66,1066,"mse",1000197
"ou",66,1066,"rate_state",1000198
"ou",67,1067,"ou",1000199
"ou",67,1067,"mse",1000200
"ou",67,1067,"rate_state",1000201
"ou",68,1068,"ou",1000202
"ou",68,1068,"mse",1000203
"ou",68,1068,"rate_state",1000204
"ou",69,1069,"ou",1000205
"ou",69,1069,"mse",1000206
"ou",69,1069,"rate_state",1000207
"ou",70,1070,"ou",1000208
"ou",70,1070,"mse",1000209
"ou",70,1070,"rate_state",1000210
"ou",71,1071,"ou",1000211
"ou",71,1071,"mse",1000212
"ou",71,1071,"rate_state",1000213
"ou",72,1072,"ou",1000214
"ou",72,1072,"mse",1000215
"ou",72,1072,"rate_state",1000216
"ou",73,1073,"ou",1000217
"ou",73,1073,"mse",1000218
"ou",73,1073,"rate_state",1000219
"ou",74,1074,"ou",1000220
"ou",74,1074,"mse",1000221
"ou",74,1074,"rate_state",1000222
"ou",75,1075,"ou",1000223
"ou",75,1075,"mse",1000224
"ou",75,1075,"rate_state",1000225
"ou",76,1076,"ou",1000226
"ou",76,1076,"mse",1000227
"ou",76,1076,"rate_state",1000228
"ou",77,1077,"ou",1000229
"ou",77,1077,"mse",1000230
"ou",77,1077,"rate_state",1000231
"ou",78,1078,"ou",1000232
"ou",78,1078,"mse",1000233
"ou",78,1078,"rate_state",1000234
"ou",79,1079,"ou",1000235
"ou",79,1079,"mse",1000236
"ou",79,1079,"rate_state",1000237
"ou",80,1080,"ou",1000238
"ou",80,1080,"mse",1000239
"ou",80,1080,"rate_state",1000240
"ou",81,1081,"ou",1000241
"ou",81,1081,"mse",1000242
"ou",81,1081,"rate_state",1000243
"ou",82,1082,"ou",1000244
"ou",82,1082,"mse",1000245
"ou",82,1082,"rate_state",1000246
"ou",83,1083,"ou",1000247
"ou",83,1083,"mse",1000248
"ou",83,1083,"rate_state",1000249
"ou",84,1084,"ou",1000250
"ou",84,1084,"mse",1000251
"ou",84,1084,"rate_state",1000252
"ou",85,1085,"ou",1000253
"ou",85,1085,"mse",1000254
"ou",85,1085,"rate_state",1000255
"ou",86,1086,"ou",1000256
"ou",86,1086,"mse",1000257
"ou",86,1086,"rate_state",1000258
"ou",87,1087,"ou",1000259
"ou",87,1087,"mse",1000260
"ou",87,1087,"rate_state",1000261
"ou",88,1088,"ou",1000262
"ou",88,1088,"mse",1000263
"ou",88,1088,"rate_state",1000264
"ou",89,1089,"ou",1000265
"ou",89,1089,"mse",1000266
"ou",89,1089,"rate_state",1000267
"ou",90,1090,"ou",1000268
"ou",90,1090,"mse",1000269
"ou",90,1090,"rate_state",1000270
"ou",91,1091,"ou",1000271
"ou",91,1091,"mse",1000272
"ou",91,1091,"rate_state",1000273
"ou",92,1092,"ou",1000274
"ou",92,1092,"mse",1000275
"ou",92,1092,"rate_state",1000276
"ou",93,1093,"ou",1000277
"ou",93,1093,"mse",1000278
"ou",93,1093,"rate_state",1000279
"ou",94,1094,"ou",1000280
"ou",94,1094,"mse",1000281
"ou",94,1094,"rate_state",1000282
"ou",95,1095,"ou",1000283
"ou",95,1095,"mse",1000284
"ou",95,1095,"rate_state",1000285
"ou",96,1096,"ou",1000286
"ou",96,1096,"mse",1000287
"ou",96,1096,"rate_state",1000288
"ou",97,1097,"ou",1000289
"ou",97,1097,"mse",1000290
"ou",97,1097,"rate_state",1000291
"ou",98,1098,"ou",1000292
"ou",98,1098,"mse",1000293
"ou",98,1098,"rate_state",1000294
"ou",99,1099,"ou",1000295
"ou",99,1099,"mse",1000296
"ou",99,1099,"rate_state",1000297
"ou",100,1100,"ou",1000298
"ou",100,1100,"mse",1000299
"ou",100,1100,"rate_state",1000300
"mse",1,2001,"ou",1000301
"mse",1,2001,"mse",1000302
"mse",1,2001,"rate_state",1000303
"mse",2,2002,"ou",1000304
"mse",2,2002,"mse",1000305
"mse",2,2002,"rate_state",1000306
"mse",3,2003,"ou",1000307
"mse",3,2003,"mse",1000308
"mse",3,2003,"rate_state",1000309
"mse",4,2004,"ou",1000310
"mse",4,2004,"mse",1000311
"mse",4,2004,"rate_state",1000312
"mse",5,2005,"ou",1000313
"mse",5,2005,"mse",1000314
"mse",5,2005,"rate_state",1000315
"mse",6,2006,"ou",1000316
"mse",6,2006,"mse",1000317
"mse",6,2006,"rate_state",1000318
"mse",7,2007,"ou",1000319
"mse",7,2007,"mse",1000320
"mse",7,2007,"rate_state",1000321
"mse",8,2008,"ou",1000322
"mse",8,2008,"mse",1000323
"mse",8,2008,"rate_state",1000324
"mse",9,2009,"ou",1000325
"mse",9,2009,"mse",1000326
"mse",9,2009,"rate_state",1000327
"mse",10,2010,"ou",1000328
"mse",10,2010,"mse",1000329
"mse",10,2010,"rate_state",1000330
"mse",11,2011,"ou",1000331
"mse",11,2011,"mse",1000332
"mse",11,2011,"rate_state",1000333
"mse",12,2012,"ou",1000334
"mse",12,2012,"mse",1000335
"mse",12,2012,"rate_state",1000336
"mse",13,2013,"ou",1000337
"mse",13,2013,"mse",1000338
"mse",13,2013,"rate_state",1000339
"mse",14,2014,"ou",1000340
"mse",14,2014,"mse",1000341
"mse",14,2014,"rate_state",1000342
"mse",15,2015,"ou",1000343
"mse",15,2015,"mse",1000344
"mse",15,2015,"rate_state",1000345
"mse",16,2016,"ou",1000346
"mse",16,2016,"mse",1000347
"mse",16,2016,"rate_state",1000348
"mse",17,2017,"ou",1000349
"mse",17,2017,"mse",1000350
"mse",17,2017,"rate_state",1000351
"mse",18,2018,"ou",1000352
"mse",18,2018,"mse",1000353
"mse",18,2018,"rate_state",1000354
"mse",19,2019,"ou",1000355
"mse",19,2019,"mse",1000356
"mse",19,2019,"rate_state",1000357
"mse",20,2020,"ou",1000358
"mse",20,2020,"mse",1000359
"mse",20,2020,"rate_state",1000360
"mse",21,2021,"ou",1000361
"mse",21,2021,"mse",1000362
"mse",21,2021,"rate_state",1000363
"mse",22,2022,"ou",1000364
"mse",22,2022,"mse",1000365
"mse",22,2022,"rate_state",1000366
"mse",23,2023,"ou",1000367
"mse",23,2023,"mse",1000368
"mse",23,2023,"rate_state",1000369
"mse",24,2024,"ou",1000370
"mse",24,2024,"mse",1000371
"mse",24,2024,"rate_state",1000372
"mse",25,2025,"ou",1000373
"mse",25,2025,"mse",1000374
"mse",25,2025,"rate_state",1000375
"mse",26,2026,"ou",1000376
"mse",26,2026,"mse",1000377
"mse",26,2026,"rate_state",1000378
"mse",27,2027,"ou",1000379
"mse",27,2027,"mse",1000380
"mse",27,2027,"rate_state",1000381
"mse",28,2028,"ou",1000382
"mse",28,2028,"mse",1000383
"mse",28,2028,"rate_state",1000384
"mse",29,2029,"ou",1000385
"mse",29,2029,"mse",1000386
"mse",29,2029,"rate_state",1000387
"mse",30,2030,"ou",1000388
"mse",30,2030,"mse",1000389
"mse",30,2030,"rate_state",1000390
"mse",31,2031,"ou",1000391
"mse",31,2031,"mse",1000392
"mse",31,2031,"rate_state",1000393
"mse",32,2032,"ou",1000394
"mse",32,2032,"mse",1000395
"mse",32,2032,"rate_state",1000396
"mse",33,2033,"ou",1000397
"mse",33,2033,"mse",1000398
"mse",33,2033,"rate_state",1000399
"mse",34,2034,"ou",1000400
"mse",34,2034,"mse",1000401
"mse",34,2034,"rate_state",1000402
"mse",35,2035,"ou",1000403
"mse",35,2035,"mse",1000404
"mse",35,2035,"rate_state",1000405
"mse",36,2036,"ou",1000406
"mse",36,2036,"mse",1000407
"mse",36,2036,"rate_state",1000408
"mse",37,2037,"ou",1000409
"mse",37,2037,"mse",1000410
"mse",37,2037,"rate_state",1000411
"mse",38,2038,"ou",1000412
"mse",38,2038,"mse",1000413
"mse",38,2038,"rate_state",1000414
"mse",39,2039,"ou",1000415
"mse",39,2039,"mse",1000416
"mse",39,2039,"rate_state",1000417
"mse",40,2040,"ou",1000418
"mse",40,2040,"mse",1000419
"mse",40,2040,"rate_state",1000420
"mse",41,2041,"ou",1000421
"mse",41,2041,"mse",1000422
"mse",41,2041,"rate_state",1000423
"mse",42,2042,"ou",1000424
"mse",42,2042,"mse",1000425
"mse",42,2042,"rate_state",1000426
"mse",43,2043,"ou",1000427
"mse",43,2043,"mse",1000428
"mse",43,2043,"rate_state",1000429
"mse",44,2044,"ou",1000430
"mse",44,2044,"mse",1000431
"mse",44,2044,"rate_state",1000432
"mse",45,2045,"ou",1000433
"mse",45,2045,"mse",1000434
"mse",45,2045,"rate_state",1000435
"mse",46,2046,"ou",1000436
"mse",46,2046,"mse",1000437
"mse",46,2046,"rate_state",1000438
"mse",47,2047,"ou",1000439
"mse",47,2047,"mse",1000440
"mse",47,2047,"rate_state",1000441
"mse",48,2048,"ou",1000442
"mse",48,2048,"mse",1000443
"mse",48,2048,"rate_state",1000444
"mse",49,2049,"ou",1000445
"mse",49,2049,"mse",1000446
"mse",49,2049,"rate_state",1000447
"mse",50,2050,"ou",1000448
"mse",50,2050,"mse",1000449
"mse",50,2050,"rate_state",1000450
"mse",51,2051,"ou",1000451
"mse",51,2051,"mse",1000452
"mse",51,2051,"rate_state",1000453
"mse",52,2052,"ou",1000454
"mse",52,2052,"mse",1000455
"mse",52,2052,"rate_state",1000456
"mse",53,2053,"ou",1000457
"mse",53,2053,"mse",1000458
"mse",53,2053,"rate_state",1000459
"mse",54,2054,"ou",1000460
"mse",54,2054,"mse",1000461
"mse",54,2054,"rate_state",1000462
"mse",55,2055,"ou",1000463
"mse",55,2055,"mse",1000464
"mse",55,2055,"rate_state",1000465
"mse",56,2056,"ou",1000466
"mse",56,2056,"mse",1000467
"mse",56,2056,"rate_state",1000468
"mse",57,2057,"ou",1000469
"mse",57,2057,"mse",1000470
"mse",57,2057,"rate_state",1000471
"mse",58,2058,"ou",1000472
"mse",58,2058,"mse",1000473
"mse",58,2058,"rate_state",1000474
"mse",59,2059,"ou",1000475
"mse",59,2059,"mse",1000476
"mse",59,2059,"rate_state",1000477
"mse",60,2060,"ou",1000478
"mse",60,2060,"mse",1000479
"mse",60,2060,"rate_state",1000480
"mse",61,2061,"ou",1000481
"mse",61,2061,"mse",1000482
"mse",61,2061,"rate_state",1000483
"mse",62,2062,"ou",1000484
"mse",62,2062,"mse",1000485
"mse",62,2062,"rate_state",1000486
"mse",63,2063,"ou",1000487
"mse",63,2063,"mse",1000488
"mse",63,2063,"rate_state",1000489
"mse",64,2064,"ou",1000490
"mse",64,2064,"mse",1000491
"mse",64,2064,"rate_state",1000492
"mse",65,2065,"ou",1000493
"mse",65,2065,"mse",1000494
"mse",65,2065,"rate_state",1000495
"mse",66,2066,"ou",1000496
"mse",66,2066,"mse",1000497
"mse",66,2066,"rate_state",1000498
"mse",67,2067,"ou",1000499
"mse",67,2067,"mse",1000500
"mse",67,2067,"rate_state",1000501
"mse",68,2068,"ou",1000502
"mse",68,2068,"mse",1000503
"mse",68,2068,"rate_state",1000504
"mse",69,2069,"ou",1000505
"mse",69,2069,"mse",1000506
"mse",69,2069,"rate_state",1000507
"mse",70,2070,"ou",1000508
"mse",70,2070,"mse",1000509
"mse",70,2070,"rate_state",1000510
"mse",71,2071,"ou",1000511
"mse",71,2071,"mse",1000512
"mse",71,2071,"rate_state",1000513
"mse",72,2072,"ou",1000514
"mse",72,2072,"mse",1000515
"mse",72,2072,"rate_state",1000516
"mse",73,2073,"ou",1000517
"mse",73,2073,"mse",1000518
"mse",73,2073,"rate_state",1000519
"mse",74,2074,"ou",1000520
"mse",74,2074,"mse",1000521
"mse",74,2074,"rate_state",1000522
"mse",75,2075,"ou",1000523
"mse",75,2075,"mse",1000524
"mse",75,2075,"rate_state",1000525
"mse",76,2076,"ou",1000526
"mse",76,2076,"mse",1000527
"mse",76,2076,"rate_state",1000528
"mse",77,2077,"ou",1000529
"mse",77,2077,"mse",1000530
"mse",77,2077,"rate_state",1000531
"mse",78,2078,"ou",1000532
"mse",78,2078,"mse",1000533
"mse",78,2078,"rate_state",1000534
"mse",79,2079,"ou",1000535
"mse",79,2079,"mse",1000536
"mse",79,2079,"rate_state",1000537
"mse",80,2080,"ou",1000538
"mse",80,2080,"mse",1000539
"mse",80,2080,"rate_state",1000540
"mse",81,2081,"ou",1000541
"mse",81,2081,"mse",1000542
"mse",81,2081,"rate_state",1000543
"mse",82,2082,"ou",1000544
"mse",82,2082,"mse",1000545
"mse",82,2082,"rate_state",1000546
"mse",83,2083,"ou",1000547
"mse",83,2083,"mse",1000548
"mse",83,2083,"rate_state",1000549
"mse",84,2084,"ou",1000550
"mse",84,2084,"mse",1000551
"mse",84,2084,"rate_state",1000552
"mse",85,2085,"ou",1000553
"mse",85,2085,"mse",1000554
"mse",85,2085,"rate_state",1000555
"mse",86,2086,"ou",1000556
"mse",86,2086,"mse",1000557
"mse",86,2086,"rate_state",1000558
"mse",87,2087,"ou",1000559
"mse",87,2087,"mse",1000560
"mse",87,2087,"rate_state",1000561
"mse",88,2088,"ou",1000562
"mse",88,2088,"mse",1000563
"mse",88,2088,"rate_state",1000564
"mse",89,2089,"ou",1000565
"mse",89,2089,"mse",1000566
"mse",89,2089,"rate_state",1000567
"mse",90,2090,"ou",1000568
"mse",90,2090,"mse",1000569
"mse",90,2090,"rate_state",1000570
"mse",91,2091,"ou",1000571
"mse",91,2091,"mse",1000572
"mse",91,2091,"rate_state",1000573
"mse",92,2092,"ou",1000574
"mse",92,2092,"mse",1000575
"mse",92,2092,"rate_state",1000576
"mse",93,2093,"ou",1000577
"mse",93,2093,"mse",1000578
"mse",93,2093,"rate_state",1000579
"mse",94,2094,"ou",1000580
"mse",94,2094,"mse",1000581
"mse",94,2094,"rate_state",1000582
"mse",95,2095,"ou",1000583
"mse",95,2095,"mse",1000584
"mse",95,2095,"rate_state",1000585
"mse",96,2096,"ou",1000586
"mse",96,2096,"mse",1000587
"mse",96,2096,"rate_state",1000588
"mse",97,2097,"ou",1000589
"mse",97,2097,"mse",1000590
"mse",97,2097,"rate_state",1000591
"mse",98,2098,"ou",1000592
"mse",98,2098,"mse",1000593
"mse",98,2098,"rate_state",1000594
"mse",99,2099,"ou",1000595
"mse",99,2099,"mse",1000596
"mse",99,2099,"rate_state",1000597
"mse",100,2100,"ou",1000598
"mse",100,2100,"mse",1000599
"mse",100,2100,"rate_state",1000600
"rate_state",1,3001,"ou",1000601
"rate_state",1,3001,"mse",1000602
"rate_state",1,3001,"rate_state",1000603
"rate_state",2,3002,"ou",1000604
"rate_state",2,3002,"mse",1000605
"rate_state",2,3002,"rate_state",1000606
"rate_state",3,3003,"ou",1000607
"rate_state",3,3003,"mse",1000608
"rate_state",3,3003,"rate_state",1000609
"rate_state",4,3004,"ou",1000610
"rate_state",4,3004,"mse",1000611
"rate_state",4,3004,"rate_state",1000612
"rate_state",5,3005,"ou",1000613
"rate_state",5,3005,"mse",1000614
"rate_state",5,3005,"rate_state",1000615
"rate_state",6,3006,"ou",1000616
"rate_state",6,3006,"mse",1000617
"rate_state",6,3006,"rate_state",1000618
"rate_state",7,3007,"ou",1000619
"rate_state",7,3007,"mse",1000620
"rate_state",7,3007,"rate_state",1000621
"rate_state",8,3008,"ou",1000622
"rate_state",8,3008,"mse",1000623
"rate_state",8,3008,"rate_state",1000624
"rate_state",9,3009,"ou",1000625
"rate_state",9,3009,"mse",1000626
"rate_state",9,3009,"rate_state",1000627
"rate_state",10,3010,"ou",1000628
"rate_state",10,3010,"mse",1000629
"rate_state",10,3010,"rate_state",1000630
"rate_state",11,3011,"ou",1000631
"rate_state",11,3011,"mse",1000632
"rate_state",11,3011,"rate_state",1000633
"rate_state",12,3012,"ou",1000634
"rate_state",12,3012,"mse",1000635
"rate_state",12,3012,"rate_state",1000636
"rate_state",13,3013,"ou",1000637
"rate_state",13,3013,"mse",1000638
"rate_state",13,3013,"rate_state",1000639
"rate_state",14,3014,"ou",1000640
"rate_state",14,3014,"mse",1000641
"rate_state",14,3014,"rate_state",1000642
"rate_state",15,3015,"ou",1000643
"rate_state",15,3015,"mse",1000644
"rate_state",15,3015,"rate_state",1000645
"rate_state",16,3016,"ou",1000646
"rate_state",16,3016,"mse",1000647
"rate_state",16,3016,"rate_state",1000648
"rate_state",17,3017,"ou",1000649
"rate_state",17,3017,"mse",1000650
"rate_state",17,3017,"rate_state",1000651
"rate_state",18,3018,"ou",1000652
"rate_state",18,3018,"mse",1000653
"rate_state",18,3018,"rate_state",1000654
"rate_state",19,3019,"ou",1000655
"rate_state",19,3019,"mse",1000656
"rate_state",19,3019,"rate_state",1000657
"rate_state",20,3020,"ou",1000658
"rate_state",20,3020,"mse",1000659
"rate_state",20,3020,"rate_state",1000660
"rate_state",21,3021,"ou",1000661
"rate_state",21,3021,"mse",1000662
"rate_state",21,3021,"rate_state",1000663
"rate_state",22,3022,"ou",1000664
"rate_state",22,3022,"mse",1000665
"rate_state",22,3022,"rate_state",1000666
"rate_state",23,3023,"ou",1000667
"rate_state",23,3023,"mse",1000668
"rate_state",23,3023,"rate_state",1000669
"rate_state",24,3024,"ou",1000670
"rate_state",24,3024,"mse",1000671
"rate_state",24,3024,"rate_state",1000672
"rate_state",25,3025,"ou",1000673
"rate_state",25,3025,"mse",1000674
"rate_state",25,3025,"rate_state",1000675
"rate_state",26,3026,"ou",1000676
"rate_state",26,3026,"mse",1000677
"rate_state",26,3026,"rate_state",1000678
"rate_state",27,3027,"ou",1000679
"rate_state",27,3027,"mse",1000680
"rate_state",27,3027,"rate_state",1000681
"rate_state",28,3028,"ou",1000682
"rate_state",28,3028,"mse",1000683
"rate_state",28,3028,"rate_state",1000684
"rate_state",29,3029,"ou",1000685
"rate_state",29,3029,"mse",1000686
"rate_state",29,3029,"rate_state",1000687
"rate_state",30,3030,"ou",1000688
"rate_state",30,3030,"mse",1000689
"rate_state",30,3030,"rate_state",1000690
"rate_state",31,3031,"ou",1000691
"rate_state",31,3031,"mse",1000692
"rate_state",31,3031,"rate_state",1000693
"rate_state",32,3032,"ou",1000694
"rate_state",32,3032,"mse",1000695
"rate_state",32,3032,"rate_state",1000696
"rate_state",33,3033,"ou",1000697
"rate_state",33,3033,"mse",1000698
"rate_state",33,3033,"rate_state",1000699
"rate_state",34,3034,"ou",1000700
"rate_state",34,3034,"mse",1000701
"rate_state",34,3034,"rate_state",1000702
"rate_state",35,3035,"ou",1000703
"rate_state",35,3035,"mse",1000704
"rate_state",35,3035,"rate_state",1000705
"rate_state",36,3036,"ou",1000706
"rate_state",36,3036,"mse",1000707
"rate_state",36,3036,"rate_state",1000708
"rate_state",37,3037,"ou",1000709
"rate_state",37,3037,"mse",1000710
"rate_state",37,3037,"rate_state",1000711
"rate_state",38,3038,"ou",1000712
"rate_state",38,3038,"mse",1000713
"rate_state",38,3038,"rate_state",1000714
"rate_state",39,3039,"ou",1000715
"rate_state",39,3039,"mse",1000716
"rate_state",39,3039,"rate_state",1000717
"rate_state",40,3040,"ou",1000718
"rate_state",40,3040,"mse",1000719
"rate_state",40,3040,"rate_state",1000720
"rate_state",41,3041,"ou",1000721
"rate_state",41,3041,"mse",1000722
"rate_state",41,3041,"rate_state",1000723
"rate_state",42,3042,"ou",1000724
"rate_state",42,3042,"mse",1000725
"rate_state",42,3042,"rate_state",1000726
"rate_state",43,3043,"ou",1000727
"rate_state",43,3043,"mse",1000728
"rate_state",43,3043,"rate_state",1000729
"rate_state",44,3044,"ou",1000730
"rate_state",44,3044,"mse",1000731
"rate_state",44,3044,"rate_state",1000732
"rate_state",45,3045,"ou",1000733
"rate_state",45,3045,"mse",1000734
"rate_state",45,3045,"rate_state",1000735
"rate_state",46,3046,"ou",1000736
"rate_state",46,3046,"mse",1000737
"rate_state",46,3046,"rate_state",1000738
"rate_state",47,3047,"ou",1000739
"rate_state",47,3047,"mse",1000740
"rate_state",47,3047,"rate_state",1000741
"rate_state",48,3048,"ou",1000742
"rate_state",48,3048,"mse",1000743
"rate_state",48,3048,"rate_state",1000744
"rate_state",49,3049,"ou",1000745
"rate_state",49,3049,"mse",1000746
"rate_state",49,3049,"rate_state",1000747
"rate_state",50,3050,"ou",1000748
"rate_state",50,3050,"mse",1000749
"rate_state",50,3050,"rate_state",1000750
"rate_state",51,3051,"ou",1000751
"rate_state",51,3051,"mse",1000752
"rate_state",51,3051,"rate_state",1000753
"rate_state",52,3052,"ou",1000754
"rate_state",52,3052,"mse",1000755
"rate_state",52,3052,"rate_state",1000756
"rate_state",53,3053,"ou",1000757
"rate_state",53,3053,"mse",1000758
"rate_state",53,3053,"rate_state",1000759
"rate_state",54,3054,"ou",1000760
"rate_state",54,3054,"mse",1000761
"rate_state",54,3054,"rate_state",1000762
"rate_state",55,3055,"ou",1000763
"rate_state",55,3055,"mse",1000764
"rate_state",55,3055,"rate_state",1000765
"rate_state",56,3056,"ou",1000766
"rate_state",56,3056,"mse",1000767
"rate_state",56,3056,"rate_state",1000768
"rate_state",57,3057,"ou",1000769
