"truth_form","rep","n_fit","fit_status","converged","hit_max","inla_failure","nan_inf_logl","vb_aborted","degenerate","usable","min_sd","B","one_minus_B","ta","fit_result"
"OU truth",90,9438,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00356876575166042,0.999910982704568,8.90172954315371e-05,134.263224463804,"Usable"
"OU truth",91,2164,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0072349075812012,0.9999135450429,8.6454957100246e-05,137.48289954628,"Usable"
"OU truth",92,3854,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00594987740935185,0.999892499567975,0.000107500432025009,109.877409629819,"Usable"
"OU truth",93,3775,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00571877551798892,0.999936356096141,6.36439038586012e-05,192.192512649726,"Usable"
"OU truth",94,2111,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0072706319931296,0.999892452907086,0.000107547092914162,110.412613772058,"Usable"
"OU truth",95,3120,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00615291172140167,0.999917076463613,8.29235363869474e-05,133.442649769738,"Usable"
"OU truth",96,3084,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0065311824838775,0.999877649674091,0.000122350325909237,101.091277341356,"Usable"
"OU truth",97,2794,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00641943144191859,0.999774742347354,0.000225257652646027,60.1067598318316,"Usable"
"OU truth",98,2679,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00691958705287752,0.999871410204672,0.000128589795328038,94.5416895206078,"Usable"
"OU truth",99,2967,"converged",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.00649009120473762,0.999890378638792,0.000109621361207735,110.423419600066,"Usable"
