"kernel","n_fit","n_pre_mainshock","n_post_mainshock","n_forecast","n_total","max_magnitude","max_generation","rep","seed"
"rate_state",2520,144,2376,106,2626,7.1,13,61,910183
"ou",2756,339,2417,240,2996,7.1,15,62,910184
"mse",2976,1391,1585,100,3076,7.1,13,62,910185
"rate_state",5700,153,5547,1021,6721,7.1,16,62,910186
"ou",1485,122,1363,170,1655,7.1,9,63,910187
"mse",1961,313,1648,121,2082,7.1,11,63,910188
"rate_state",2169,227,1942,99,2268,7.1,9,63,910189
"ou",1802,148,1654,161,1963,7.1,9,64,910190
"mse",1697,483,1214,278,1975,7.1,14,64,910191
"rate_state",4067,194,3873,347,4414,7.1,21,64,910192
"ou",5180,280,4900,600,5780,7.1,18,65,910193
"mse",2504,332,2172,92,2596,7.1,15,65,910194
"rate_state",15229,145,15084,463,15692,7.1,38,65,910195
"ou",1333,233,1100,609,1942,7.1,9,66,910196
"mse",2196,168,2028,71,2267,7.1,13,66,910197
"rate_state",2803,525,2278,92,2895,7.1,11,66,910198
"ou",1348,163,1185,390,1738,7.1,10,67,910199
"mse",1589,215,1374,72,1661,7.1,11,67,910200
"rate_state",1366,359,1007,87,1453,7.1,10,67,910201
"ou",4967,175,4792,428,5395,7.1,24,68,910202
"mse",2109,166,1943,78,2187,7.1,13,68,910203
"rate_state",6768,229,6539,150,6918,7.1,39,68,910204
"ou",1733,204,1529,163,1896,7.1,8,69,910205
"mse",4343,140,4203,84,4427,7.1,14,69,910206
"rate_state",3696,611,3085,248,3944,7.1,12,69,910207
"ou",2142,121,2021,210,2352,7.1,13,70,910208
"mse",1927,362,1565,964,2891,7.1,10,70,910209
"rate_state",2840,218,2622,139,2979,7.1,11,70,910210
"ou",1365,127,1238,178,1543,7.1,6,71,910211
"mse",6645,254,6391,725,7370,7.1,22,71,910212
"rate_state",2932,197,2735,165,3097,7.1,14,71,910213
"ou",1754,330,1424,157,1911,7.1,10,72,910214
"mse",2611,354,2257,158,2769,7.1,17,72,910215
"rate_state",1778,196,1582,93,1871,7.1,11,72,910216
"ou",6026,307,5719,1216,7242,7.1,19,73,910217
"mse",1212,267,945,216,1428,7.1,7,73,910218
"rate_state",7137,1073,6064,128,7265,7.1,25,73,910219
"ou",1025,207,818,428,1453,7.1,8,74,910220
"mse",4196,184,4012,65,4261,7.1,12,74,910221
"rate_state",1158,233,925,197,1355,7.1,9,74,910222
"ou",1697,306,1391,209,1906,7.1,13,75,910223
"mse",1408,155,1253,97,1505,7.1,8,75,910224
"rate_state",1635,108,1527,127,1762,7.1,10,75,910225
"ou",1414,192,1222,878,2292,7.1,12,76,910226
"mse",2918,1466,1452,115,3033,7.1,9,76,910227
"rate_state",1925,231,1694,137,2062,7.1,13,76,910228
"ou",2668,368,2300,151,2819,7.1,15,77,910229
"mse",2854,326,2528,70,2924,7.1,13,77,910230
"rate_state",2421,174,2247,102,2523,7.1,12,77,910231
"ou",1306,144,1162,94,1400,7.1,8,78,910232
"mse",1331,166,1165,198,1529,7.1,9,78,910233
"rate_state",1556,115,1441,151,1707,7.1,12,78,910234
"ou",1296,250,1046,122,1418,7.1,10,79,910235
"mse",2954,844,2110,87,3041,7.1,16,79,910236
"rate_state",1439,272,1167,3793,5232,7.1,17,79,910237
"ou",2203,121,2082,115,2318,7.1,14,80,910238
"mse",1996,292,1704,372,2368,7.1,11,80,910239
"rate_state",3513,315,3198,109,3622,7.1,13,80,910240
"ou",5651,273,5378,685,6336,7.1,18,81,910241
"mse",3230,190,3040,604,3834,7.1,15,81,910242
"rate_state",1927,1009,918,114,2041,7.1,11,81,910243
"ou",2303,704,1599,257,2560,7.1,14,82,910244
"mse",2606,150,2456,184,2790,7.1,16,82,910245
"rate_state",4300,188,4112,799,5099,7.1,19,82,910246
"ou",2435,859,1576,142,2577,7.1,15,83,910247
"mse",3272,1254,2018,154,3426,7.1,13,83,910248
"rate_state",1767,130,1637,117,1884,7.1,8,83,910249
"ou",1986,177,1809,209,2195,7.1,10,84,910250
"mse",2938,194,2744,78,3016,7.1,12,84,910251
"rate_state",2823,151,2672,434,3257,7.1,10,84,910252
"ou",2046,386,1660,172,2218,7.1,10,85,910253
"mse",2172,310,1862,322,2494,7.1,13,85,910254
"rate_state",2016,894,1122,201,2217,7.1,15,85,910255
"ou",9053,4665,4388,4347,13400,7.1,37,86,910256
"mse",3984,337,3647,192,4176,7.1,20,86,910257
"rate_state",1733,180,1553,147,1880,7.1,10,86,910258
"ou",2667,1384,1283,365,3032,7.1,14,87,910259
"mse",2609,203,2406,82,2691,7.1,12,87,910260
"rate_state",4364,310,4054,167,4531,7.1,17,87,910261
"ou",1459,150,1309,208,1667,7.1,9,88,910262
"mse",4275,743,3532,147,4422,7.1,17,88,910263
"rate_state",6438,2142,4296,122,6560,7.1,18,88,910264
"ou",2147,132,2015,227,2374,7.1,11,89,910265
"mse",1503,192,1311,251,1754,7.1,11,89,910266
"rate_state",6788,250,6538,150,6938,7.1,16,89,910267
"ou",4436,893,3543,1331,5767,7.1,18,90,910268
"mse",4970,301,4669,123,5093,7.1,17,90,910269
"rate_state",2542,425,2117,106,2648,7.1,12,90,910270
"ou",3472,942,2530,534,4006,7.1,12,91,910271
"mse",1385,431,954,84,1469,7.1,8,91,910272
"rate_state",2076,203,1873,144,2220,7.1,11,91,910273
"ou",1532,217,1315,145,1677,7.1,9,92,910274
"mse",7205,700,6505,142,7347,7.1,24,92,910275
"rate_state",2865,384,2481,328,3193,7.1,12,92,910276
"ou",9431,571,8860,886,10317,7.1,17,93,910277
"mse",3241,224,3017,153,3394,7.1,16,93,910278
"rate_state",1267,235,1032,371,1638,7.1,14,93,910279
"ou",2428,144,2284,3154,5582,7.1,21,94,910280
"mse",2302,203,2099,197,2499,7.1,10,94,910281
"rate_state",4305,166,4139,195,4500,7.1,13,94,910282
"ou",3244,1506,1738,237,3481,7.1,16,95,910283
"mse",2809,175,2634,121,2930,7.1,12,95,910284
"rate_state",3066,495,2571,98,3164,7.1,12,95,910285
"ou",2487,291,2196,181,2668,7.1,11,96,910286
"mse",1527,237,1290,111,1638,7.1,11,96,910287
"rate_state",4181,118,4063,1570,5751,7.1,20,96,910288
"ou",3107,176,2931,231,3338,7.1,16,97,910289
"mse",2873,768,2105,80,2953,7.1,18,97,910290
"rate_state",2829,213,2616,96,2925,7.1,14,97,910291
"ou",3416,320,3096,331,3747,7.1,17,98,910292
"mse",3634,134,3500,85,3719,7.1,13,98,910293
"rate_state",1341,152,1189,263,1604,7.1,10,98,910294
"ou",3428,263,3165,955,4383,7.1,18,99,910295
"mse",4189,497,3692,101,4290,7.1,19,99,910296
"rate_state",1613,428,1185,105,1718,7.1,17,99,910297
"ou",1281,221,1060,199,1480,7.1,12,100,910298
"mse",2310,1250,1060,166,2476,7.1,9,100,910299
"rate_state",2700,453,2247,110,2810,7.1,14,100,910300
