"truth_kernel","fitted_kernel","rep","posterior_mean_tv","posterior_q025_tv","posterior_q10_tv","posterior_median_tv","posterior_q90_tv","posterior_q975_tv","posterior_iqr_tv"
"mse","mse",55,0.0280550265634401,0.00897804206268036,0.0144062192460597,0.0277709200217161,0.0413129349437369,0.0487639647731225,0.0141715855821727
"mse","mse",56,0.0192600856760308,0.00546185377440267,0.00874035365870819,0.0183670904181551,0.0308301170588648,0.0383254646674066,0.0128067448204373
"mse","mse",57,0.0238193009870505,0.00734934357433537,0.0113827945011973,0.0225644978524239,0.0379955077853468,0.0472381342930992,0.0137063239864041
"mse","mse",58,0.0156284314610226,0.00403143314857059,0.00682663649399793,0.0148712257739082,0.0248294572161519,0.0306823277350224,0.00996118850169099
"mse","mse",59,0.0292961055518692,0.0109295997662067,0.016518794730178,0.0283095496087204,0.0431586725261828,0.0517937288826208,0.014694164791213
"mse","mse",60,0.0221647995010864,0.00489312482716537,0.00923010530449533,0.0206684351762994,0.0373553914981843,0.0463759018065051,0.014522076357211
"mse","mse",61,0.0256620804021653,0.00978853955442071,0.01372016703949,0.0260398458105502,0.0371463765479411,0.0417368082500264,0.0128327470769264
"mse","mse",62,0.0303218532847008,0.0118795977501,0.0169481044668141,0.0293926430013599,0.0451872101710685,0.0527873146507025,0.0151509064884574
"mse","mse",63,0.0321377640053128,0.012421223181189,0.018365030420718,0.03091105466396,0.0480140788338849,0.0579724550460245,0.0162281122438487
"mse","mse",64,0.0203256928292738,0.00697522013661288,0.00991586468441207,0.0204346061047492,0.0303629364796316,0.0356322044798821,0.0107226163537641
"mse","mse",65,0.0235962135907185,0.00811144861756761,0.0120389252269065,0.0226679302799091,0.0364173802495338,0.0429133323467467,0.0136238338737486
"mse","mse",66,0.0217992737817183,0.0120450640281316,0.014712800472219,0.0210615762771784,0.0296751188036248,0.0358195378163701,0.00744498606343444
"mse","mse",67,0.0261152474844495,0.0100586679983279,0.0152944797151538,0.0264238240061455,0.0361789294138679,0.0410088804639749,0.0113531501737562
"mse","mse",68,0.0204962399627387,0.0103873395413789,0.0128027711530287,0.0200299749049572,0.0282465674980916,0.0336411031931726,0.00855735502270178
"mse","mse",69,0.0138014469023393,0.00444115341537732,0.00767142920179023,0.0132518701828213,0.0209661962835975,0.0255827002318599,0.0071591887624716
"mse","mse",70,0.0268575950176479,0.0102458992570418,0.0152696653455781,0.0272094645661622,0.0377683748502246,0.0427821076004381,0.0118837454111087
"mse","mse",71,0.0236273853906098,0.0103940555806516,0.0147282974283062,0.023821263121121,0.0322617385555281,0.0362053575624827,0.00962150331211761
"mse","mse",72,0.0333267694520351,0.0125402784281036,0.018631138425984,0.0328972733410084,0.0491005433799942,0.0564990284314217,0.0164749953487805
"mse","mse",73,0.0245535116562803,0.00833758930043401,0.0136592206225807,0.024635594814394,0.0357014987798771,0.0411590710261637,0.0117971186686759
"mse","mse",74,0.0328360418750743,0.0155001000100843,0.0203493531376902,0.0323398713020987,0.0458093482563587,0.0532471458334678,0.0138157504404411
