"truth_kernel","fitted_kernel","rep","tv_wrong","tv_correct","delta_tv"
"mse","ou",97,0.0670588233900881,0.0119018279600638,0.0551569954300243
"mse","ou",98,0.0645689704269829,0.0302832904491121,0.0342856799778708
"mse","ou",99,0.0725972637981161,0.00652900033496689,0.0660682634631492
"mse","ou",100,0.0704909117210829,0.0139030904094145,0.0565878213116684
"ou","mse",1,0.0301407571341275,0.0211436778777489,0.00899707925637862
"ou","mse",2,0.0365178161897822,0.0225802837693434,0.0139375324204388
"ou","mse",3,0.0182320385385247,0.0140395188458558,0.00419251969266892
"ou","mse",5,0.0431855494774946,0.0268993857255575,0.0162861637519371
"ou","mse",6,0.0357278727020288,0.0211991245916638,0.014528748110365
"ou","mse",7,0.0265110813104237,0.0041398440121279,0.0223712372982958
"ou","mse",8,0.0377289921605151,0.022219863575777,0.0155091285847381
"ou","mse",9,0.0232179434764018,0.00945014646279422,0.0137677970136076
"ou","mse",10,0.026167659387362,0.0145046528333603,0.0116630065540017
"ou","mse",11,0.0306033323446069,0.0155277649412478,0.0150755674033591
"ou","mse",12,0.0166802154527424,0.0121424440818268,0.00453777137091564
"ou","mse",13,0.0123678985499011,0.00819263053756134,0.00417526801233972
"ou","mse",14,0.0148769947932346,0.00721266279383087,0.00766433199940377
"ou","mse",15,0.0227094313477417,0.0207743217913895,0.00193510955635219
"ou","mse",16,0.039999642579409,0.0253696385911651,0.0146300039882439
"ou","mse",17,0.033565198534596,0.0420887218346375,-0.00852352330004145
"ou","mse",18,0.0126970326422052,0.00899795448969973,0.00369907815250545
"ou","mse",19,0.0195918464830078,0.00826078342334002,0.0113310630596677
"ou","mse",20,0.0237621558821937,0.0176976669090925,0.00606448897310117
"ou","mse",21,0.0303033604266304,0.0162147545077686,0.0140886059188618
"ou","mse",22,0.0481047659228164,0.0269133947715505,0.0211913711512659
"ou","mse",23,0.0315749293618937,0.0146708795592879,0.0169040498026058
"ou","mse",24,0.0238989266730909,0.0172409036137356,0.00665802305935533
"ou","mse",25,0.04846850336773,0.0388317470822749,0.00963675628545511
"ou","mse",26,0.0193063717805402,0.00144645662801821,0.017859915152522
"ou","mse",27,0.0236195215001851,0.00291898891411932,0.0207005325860658
"ou","mse",28,0.0314992909673591,0.00296848566310068,0.0285308053042584
"ou","mse",29,0.0182543877131078,0.0123582182769299,0.00589616943617794
"ou","mse",30,0.0267433412299324,0.0236975747213503,0.00304576650858207
"ou","mse",31,0.0274217733786849,0.0121900649481412,0.0152317084305437
"ou","mse",32,0.0202426319478823,0.00995824822074984,0.0102843837271324
"ou","mse",33,0.0152576970302343,0.00400854133663903,0.0112491556935952
"ou","mse",34,0.0244358230094243,0.0251690253745316,-0.00073320236510727
"ou","mse",35,0.0179244477989882,0.00896580398978403,0.00895864380920419
"ou","mse",36,0.0456958041719187,0.0339098056240457,0.011785998547873
"ou","mse",37,0.0447453331108715,0.0340475300338588,0.0106978030770127
"ou","mse",38,0.027072352167926,0.0184714870483131,0.00860086511961291
"ou","mse",39,0.028060228586315,0.0349314492321623,-0.00687122064584733
"ou","mse",40,0.0286169000221615,0.0272255533670056,0.00139134665515592
"ou","mse",42,0.0200317804228788,0.00929195152931607,0.0107398288935628
"ou","mse",43,0.0147685320430313,0.0157447371285825,-0.000976205085551197
"ou","mse",45,0.0217648382042345,0.0124869088950687,0.00927792930916576
"ou","mse",46,0.0311782867127772,0.0233643197175061,0.00781396699527108
"ou","mse",47,0.0256703858648437,0.0135879501135528,0.0120824357512909
"ou","mse",48,0.0321199934116328,0.00930307255543444,0.0228169208561983
"ou","mse",49,0.0303918013845692,0.017881276556671,0.0125105248278982
"ou","mse",50,0.0297152181826311,0.00270782233841852,0.0270073958442126
"ou","mse",51,0.0197164939342499,0.0201467302438128,-0.000430236309562921
"ou","mse",52,0.035992573896543,0.0222683433281232,0.0137242305684198
"ou","mse",53,0.0348072743222898,0.0191990360337864,0.0156082382885034
"ou","mse",54,0.0414476943293929,0.029110440818191,0.0123372535112019
"ou","mse",55,0.0388306085096133,0.0147210622381716,0.0241095462714417
"ou","mse",56,0.0181808433230017,0.00660122161279973,0.011579621710202
"ou","mse",57,0.0242850070565259,0.0119129681544447,0.0123720389020812
"ou","mse",58,0.03476995902186,0.0155276176730428,0.0192423413488172
"ou","mse",59,0.0264794869906926,0.0209767918842362,0.00550269510645639
"ou","mse",60,0.0304108203726686,0.0169449245362582,0.0134658958364104
"ou","mse",61,0.0194987022716683,0.01133404763699,0.00816465463467833
"ou","mse",62,0.038848651276304,0.0287129647540257,0.0101356865222783
"ou","mse",63,0.0216258595197847,0.0141577897210073,0.00746806979877742
"ou","mse",64,0.0300954335535271,0.0287511288174509,0.00134430473607619
"ou","mse",65,0.0382084079470852,0.0132538908581905,0.0249545170888947
"ou","mse",66,0.0133433670438275,0.0163473264685506,-0.00300395942472312
"ou","mse",67,0.0323992744903951,0.0255912713187199,0.00680800317167521
"ou","mse",68,0.0325649493293754,0.011327151371168,0.0212377979582074
"ou","mse",69,0.0151070338481158,0.0194931999772376,-0.0043861661291218
"ou","mse",70,0.0261770114696339,0.0175961442052927,0.00858086726434116
"ou","mse",71,0.0322598882991339,0.017777674212567,0.0144822140865669
"ou","mse",72,0.027955055224805,0.0114585657662519,0.0164964894585531
"ou","mse",73,0.023584520260904,0.0256723275967491,-0.00208780733584514
"ou","mse",74,0.0218350892733447,0.0145288178950744,0.00730627137827025
"ou","mse",75,0.0252214704093675,0.0293579732271941,-0.0041365028178266
"ou","mse",76,0.0169935379935398,0.0120452787457743,0.00494825924776552
"ou","mse",77,0.0327745837068693,0.0164398294535747,0.0163347542532946
"ou","mse",78,0.0243042816291445,0.0156446554352641,0.00865962619388045
"ou","mse",79,0.0341076288263781,0.0209468869627337,0.0131607418636444
"ou","mse",80,0.0308547337151714,0.0196883873715705,0.0111663463436009
"ou","mse",81,0.0235206949057922,0.0014157768244253,0.0221049180813669
"ou","mse",82,0.0309039281356165,0.0192098163259146,0.0116941118097019
"ou","mse",83,0.0218637475143254,0.0236235851973326,-0.00175983768300718
"ou","mse",84,0.0311454709097384,0.0175607757523879,0.0135846951573505
"ou","mse",85,0.0238453074031323,0.0235246426016938,0.000320664801438518
"ou","mse",86,0.019728745046879,0.007971797511896,0.011756947534983
"ou","mse",87,0.020666593228962,0.014896328952564,0.00577026427639795
"ou","mse",88,0.0464053390511959,0.0381478676765398,0.00825747137465608
"ou","mse",89,0.0223294625608538,0.00893023595276404,0.0133992266080897
"ou","mse",90,0.0113045715580546,0.0118569210413139,-0.000552349483259258
"ou","mse",91,0.0348775880832129,0.02421928544217,0.0106583026410429
"ou","mse",92,0.0363770851208564,0.0115733460891085,0.0248037390317479
"ou","mse",93,0.033678036513108,0.0184393237667299,0.0152387127463781
"ou","mse",94,0.0199623223264876,0.0102855439653632,0.00967677836112445
"ou","mse",95,0.0545312721808672,0.0433592233173695,0.0111720488634977
"ou","mse",96,0.0238031016674997,0.0082402377779445,0.0155628638895552
"ou","mse",97,0.0233003458710334,0.0138585038798336,0.00944184199119976
"ou","mse",98,0.0369972020218354,0.00838498401949222,0.0286122180023432
"ou","mse",99,0.0369271995415734,0.0138566552732722,0.0230705442683012
"ou","mse",100,0.0260548037229385,0.016046082530841,0.0100087211920975
"ou","rate_state",1,0.127501098527138,0.0211436778777489,0.106357420649389
"ou","rate_state",2,0.127927782277916,0.0225802837693434,0.105347498508573
"ou","rate_state",3,0.128249019337112,0.0140395188458558,0.114209500491256
"ou","rate_state",4,0.126251853277489,0.00403334618517724,0.122218507092312
"ou","rate_state",5,0.127996868626026,0.0268993857255575,0.101097482900469
"ou","rate_state",6,0.127600187015472,0.0211991245916638,0.106401062423808
