"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file","fit_file","min_sd","degenerate"
"ou","mse",21,1021,1000062,2297,0.613678598403931,TRUE,FALSE,7,0,"existing",NA,"rep_0021_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0021_fit_mse.rds",5.43182641076811e-13,TRUE
"ou","rate_state",21,1021,1000063,2297,3.29445136388143,TRUE,FALSE,51,0,"existing",NA,"rep_0021_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0021_fit_rate_state.rds",0.00560227742090463,FALSE
"ou","mse",22,1022,1000065,2199,0.516884382565816,TRUE,FALSE,6,0,"existing",NA,"rep_0022_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0022_fit_mse.rds",2.7129555250025e-43,TRUE
"ou","rate_state",22,1022,1000066,2199,1.93686266740163,TRUE,FALSE,29,0,"existing",NA,"rep_0022_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0022_fit_rate_state.rds",0.00557716244603662,FALSE
"ou","mse",23,1023,1000068,3707,2.54159245093664,TRUE,FALSE,13,0,"existing",NA,"rep_0023_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0023_fit_mse.rds",2.74372683578987e-18,TRUE
"ou","rate_state",23,1023,1000069,3707,5.91086830298106,TRUE,FALSE,41,0,"existing",NA,"rep_0023_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0023_fit_rate_state.rds",0.00433240738791761,FALSE
"ou","mse",24,1024,1000071,2029,2.05431254704793,TRUE,FALSE,28,0,"existing",NA,"rep_0024_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0024_fit_mse.rds",0.00585543564803918,FALSE
"ou","rate_state",24,1024,1000072,2029,0.722587180137634,TRUE,FALSE,9,1,"existing",NA,"rep_0024_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0024_fit_rate_state.rds",9.59505170647301e-32,TRUE
"ou","mse",25,1025,1000074,1767,0.418900648752848,TRUE,FALSE,6,0,"existing",NA,"rep_0025_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0025_fit_mse.rds",1.65931669623353e-42,TRUE
"ou","rate_state",25,1025,1000075,1767,1.41676665147146,TRUE,FALSE,26,0,"existing",NA,"rep_0025_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0025_fit_rate_state.rds",0.00604319250282684,FALSE
"ou","mse",26,1026,1000077,2396,2.11700629790624,TRUE,FALSE,28,0,"existing",NA,"rep_0026_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0026_fit_mse.rds",0.00524535607604432,FALSE
"ou","rate_state",26,1026,1000078,2396,0.855972015857697,TRUE,FALSE,9,1,"existing",NA,"rep_0026_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0026_fit_rate_state.rds",1.35591153771291e-23,TRUE
"ou","mse",27,1027,1000080,2361,2.52372510035833,TRUE,FALSE,29,0,"existing",NA,"rep_0027_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0027_fit_mse.rds",0.00552190706665166,FALSE
"ou","rate_state",27,1027,1000081,2361,3.78037156661352,TRUE,FALSE,48,0,"existing",NA,"rep_0027_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0027_fit_rate_state.rds",0.0055012492342277,FALSE
"ou","mse",28,1028,1000083,1981,0.360878618558248,TRUE,FALSE,4,0,"existing",NA,"rep_0028_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0028_fit_mse.rds",2.34886454468245e-37,TRUE
"ou","rate_state",28,1028,1000084,1981,6.41491146882375,FALSE,TRUE,100,1,"existing",NA,"rep_0028_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0028_fit_rate_state.rds",0.00588091558363459,FALSE
"ou","mse",29,1029,1000086,3333,3.62615981896718,TRUE,FALSE,29,0,"existing",NA,"rep_0029_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0029_fit_mse.rds",0.00486733423559328,FALSE
"ou","rate_state",29,1029,1000087,3333,3.11436193386714,TRUE,FALSE,25,1,"existing",NA,"rep_0029_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0029_fit_rate_state.rds",6.61852038324692e-20,TRUE
"ou","mse",30,1030,1000089,2356,0.560325849056244,TRUE,FALSE,6,0,"existing",NA,"rep_0030_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0030_fit_mse.rds",1.65495037189268e-34,TRUE
"ou","rate_state",30,1030,1000090,2356,4.87774916887283,TRUE,FALSE,70,0,"existing",NA,"rep_0030_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0030_fit_rate_state.rds",0.00527978083399615,FALSE
"ou","mse",31,1031,1000092,3203,20.0907529671987,FALSE,TRUE,100,0,"existing",NA,"rep_0031_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0031_fit_mse.rds",0.00470478811922558,FALSE
"ou","rate_state",31,1031,1000093,3203,1.90259441932042,TRUE,FALSE,17,1,"existing",NA,"rep_0031_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0031_fit_rate_state.rds",8.0811131924307e-34,TRUE
"ou","mse",32,1032,1000095,2572,0.64533994992574,TRUE,FALSE,7,0,"existing",NA,"rep_0032_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0032_fit_mse.rds",2.19526117273686e-44,TRUE
"ou","rate_state",32,1032,1000096,2572,0.608704551060994,TRUE,FALSE,7,1,"existing",NA,"rep_0032_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0032_fit_rate_state.rds",1.49503141830147e-27,TRUE
"ou","mse",33,1033,1000098,1342,0.290690684318543,TRUE,FALSE,6,0,"existing",NA,"rep_0033_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0033_fit_mse.rds",1.73363178726089e-35,TRUE
"ou","rate_state",33,1033,1000099,1342,0.323575532436371,TRUE,FALSE,7,1,"existing",NA,"rep_0033_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0033_fit_rate_state.rds",4.79129799072454e-36,TRUE
"ou","mse",34,1034,1000101,1973,1.95345666805903,TRUE,FALSE,27,0,"existing",NA,"rep_0034_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0034_fit_mse.rds",0.00583663339187228,FALSE
"ou","rate_state",34,1034,1000102,1973,1.69222894906998,TRUE,FALSE,25,0,"existing",NA,"rep_0034_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0034_fit_rate_state.rds",0.0058214178205981,FALSE
"ou","mse",35,1035,1000104,1557,1.10463890234629,TRUE,FALSE,22,0,"existing",NA,"rep_0035_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0035_fit_mse.rds",0.0067084848304328,FALSE
"ou","rate_state",35,1035,1000105,1557,0.272644682725271,TRUE,FALSE,5,1,"existing",NA,"rep_0035_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0035_fit_rate_state.rds",4.21329366701974e-26,TRUE
"ou","mse",36,1036,1000107,1334,0.674990916252136,TRUE,FALSE,10,0,"existing",NA,"rep_0036_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0036_fit_mse.rds",5.76044594522355e-41,TRUE
"ou","rate_state",36,1036,1000108,1334,2.61904859940211,TRUE,FALSE,64,9,"existing",NA,"rep_0036_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0036_fit_rate_state.rds",0.00685391364820916,FALSE
"ou","mse",37,1037,1000110,4689,8.11238646507263,TRUE,FALSE,44,0,"existing",NA,"rep_0037_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0037_fit_mse.rds",0.00374024506640908,FALSE
"ou","rate_state",37,1037,1000111,4689,6.41690498193105,TRUE,FALSE,43,0,"existing",NA,"rep_0037_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0037_fit_rate_state.rds",0.00372680139901181,FALSE
"ou","mse",38,1038,1000113,2513,2.52094801664352,TRUE,FALSE,33,0,"existing",NA,"rep_0038_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0038_fit_mse.rds",0.00514427447728842,FALSE
"ou","rate_state",38,1038,1000114,2513,0.643481850624084,TRUE,FALSE,8,1,"existing",NA,"rep_0038_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0038_fit_rate_state.rds",2.01595683407317e-26,TRUE
"ou","mse",39,1039,1000116,2590,2.71360856691996,TRUE,FALSE,34,0,"existing",NA,"rep_0039_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0039_fit_mse.rds",0.00523586271827987,FALSE
"ou","rate_state",39,1039,1000117,2590,0.756883283456167,TRUE,FALSE,9,1,"existing",NA,"rep_0039_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0039_fit_rate_state.rds",1.15214638895723e-18,TRUE
"ou","mse",40,1040,1000119,3529,4.38263814846675,TRUE,FALSE,36,0,"existing",NA,"rep_0040_fit_mse.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0040_fit_mse.rds",0.00428334650201441,FALSE
"ou","rate_state",40,1040,1000120,3529,4.76468875010808,TRUE,FALSE,43,0,"existing",NA,"rep_0040_fit_rate_state.rds","/Users/sachitraghavan/Documents/seismology-project/outputs/simulation/fits/main_simulation/truth_ou/rep_0040_fit_rate_state.rds",0.00430842186572478,FALSE
