"truth_kernel","fitted_kernel","rep","catalogue_seed","fit_seed","n_fit","runtime_minutes","converged","hit_max","n_iter","n_cpo_fail","status","error","file"
"ou","ou",22,1022,1000064,2199,2.0408860484759,TRUE,FALSE,29,0,"existing",NA,"rep_0022_fit_ou.rds"
"ou","mse",22,1022,1000065,2199,0.516884382565816,TRUE,FALSE,6,0,"existing",NA,"rep_0022_fit_mse.rds"
"ou","rate_state",22,1022,1000066,2199,1.93686266740163,TRUE,FALSE,29,0,"existing",NA,"rep_0022_fit_rate_state.rds"
"ou","ou",23,1023,1000067,3707,4.46008668343226,TRUE,FALSE,38,0,"existing",NA,"rep_0023_fit_ou.rds"
"ou","mse",23,1023,1000068,3707,2.54159245093664,TRUE,FALSE,13,0,"existing",NA,"rep_0023_fit_mse.rds"
"ou","rate_state",23,1023,1000069,3707,5.91086830298106,TRUE,FALSE,41,0,"existing",NA,"rep_0023_fit_rate_state.rds"
"ou","ou",24,1024,1000070,2029,1.7506710489591,TRUE,FALSE,26,0,"existing",NA,"rep_0024_fit_ou.rds"
"ou","mse",24,1024,1000071,2029,2.05431254704793,TRUE,FALSE,28,0,"existing",NA,"rep_0024_fit_mse.rds"
"ou","rate_state",24,1024,1000072,2029,0.722587180137634,TRUE,FALSE,9,1,"existing",NA,"rep_0024_fit_rate_state.rds"
"ou","ou",25,1025,1000073,1767,1.31275308132172,TRUE,FALSE,23,0,"existing",NA,"rep_0025_fit_ou.rds"
"ou","mse",25,1025,1000074,1767,0.418900648752848,TRUE,FALSE,6,0,"existing",NA,"rep_0025_fit_mse.rds"
"ou","rate_state",25,1025,1000075,1767,1.41676665147146,TRUE,FALSE,26,0,"existing",NA,"rep_0025_fit_rate_state.rds"
"ou","ou",26,1026,1000076,2396,2.33889591693878,TRUE,FALSE,32,0,"existing",NA,"rep_0026_fit_ou.rds"
"ou","mse",26,1026,1000077,2396,2.11700629790624,TRUE,FALSE,28,0,"existing",NA,"rep_0026_fit_mse.rds"
"ou","rate_state",26,1026,1000078,2396,0.855972015857697,TRUE,FALSE,9,1,"existing",NA,"rep_0026_fit_rate_state.rds"
"ou","ou",27,1027,1000079,2361,2.30126521587372,TRUE,FALSE,28,0,"existing",NA,"rep_0027_fit_ou.rds"
"ou","mse",27,1027,1000080,2361,2.52372510035833,TRUE,FALSE,29,0,"existing",NA,"rep_0027_fit_mse.rds"
"ou","rate_state",27,1027,1000081,2361,3.78037156661352,TRUE,FALSE,48,0,"existing",NA,"rep_0027_fit_rate_state.rds"
"ou","ou",28,1028,1000082,1981,1.75304245154063,TRUE,FALSE,25,0,"existing",NA,"rep_0028_fit_ou.rds"
"ou","mse",28,1028,1000083,1981,0.360878618558248,TRUE,FALSE,4,0,"existing",NA,"rep_0028_fit_mse.rds"
"ou","rate_state",28,1028,1000084,1981,6.41491146882375,FALSE,TRUE,100,1,"existing",NA,"rep_0028_fit_rate_state.rds"
"ou","ou",29,1029,1000085,3333,3.72661796410878,TRUE,FALSE,32,0,"existing",NA,"rep_0029_fit_ou.rds"
"ou","mse",29,1029,1000086,3333,3.62615981896718,TRUE,FALSE,29,0,"existing",NA,"rep_0029_fit_mse.rds"
"ou","rate_state",29,1029,1000087,3333,3.11436193386714,TRUE,FALSE,25,1,"existing",NA,"rep_0029_fit_rate_state.rds"
"ou","ou",30,1030,1000088,2356,2.06534123420715,TRUE,FALSE,29,0,"existing",NA,"rep_0030_fit_ou.rds"
"ou","mse",30,1030,1000089,2356,0.560325849056244,TRUE,FALSE,6,0,"existing",NA,"rep_0030_fit_mse.rds"
"ou","rate_state",30,1030,1000090,2356,4.87774916887283,TRUE,FALSE,70,0,"existing",NA,"rep_0030_fit_rate_state.rds"
"ou","ou",31,1031,1000091,3203,3.2711329181989,TRUE,FALSE,30,0,"existing",NA,"rep_0031_fit_ou.rds"
"ou","mse",31,1031,1000092,3203,20.0907529671987,FALSE,TRUE,100,0,"existing",NA,"rep_0031_fit_mse.rds"
"ou","rate_state",31,1031,1000093,3203,1.90259441932042,TRUE,FALSE,17,1,"existing",NA,"rep_0031_fit_rate_state.rds"
"ou","ou",32,1032,1000094,2572,2.14990396499634,TRUE,FALSE,29,0,"existing",NA,"rep_0032_fit_ou.rds"
"ou","mse",32,1032,1000095,2572,0.64533994992574,TRUE,FALSE,7,0,"existing",NA,"rep_0032_fit_mse.rds"
"ou","rate_state",32,1032,1000096,2572,0.608704551060994,TRUE,FALSE,7,1,"existing",NA,"rep_0032_fit_rate_state.rds"
"ou","ou",33,1033,1000097,1342,0.928458984692891,TRUE,FALSE,23,0,"existing",NA,"rep_0033_fit_ou.rds"
"ou","mse",33,1033,1000098,1342,0.290690684318543,TRUE,FALSE,6,0,"existing",NA,"rep_0033_fit_mse.rds"
"ou","rate_state",33,1033,1000099,1342,0.323575532436371,TRUE,FALSE,7,1,"existing",NA,"rep_0033_fit_rate_state.rds"
"ou","ou",34,1034,1000100,1973,1.70095298290253,TRUE,FALSE,25,0,"existing",NA,"rep_0034_fit_ou.rds"
"ou","mse",34,1034,1000101,1973,1.95345666805903,TRUE,FALSE,27,0,"existing",NA,"rep_0034_fit_mse.rds"
"ou","rate_state",34,1034,1000102,1973,1.69222894906998,TRUE,FALSE,25,0,"existing",NA,"rep_0034_fit_rate_state.rds"
"ou","ou",35,1035,1000103,1557,1.16076735258102,TRUE,FALSE,21,0,"existing",NA,"rep_0035_fit_ou.rds"
"ou","mse",35,1035,1000104,1557,1.10463890234629,TRUE,FALSE,22,0,"existing",NA,"rep_0035_fit_mse.rds"
